"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"46","Spok/Krell VHF","SKV Audio Test 2|SKV BC 1|SKV Cascad 1|SKV I-5-1|SKV Idaho 1|SKV Local 1|SKV Local 2|SKV Mountain 2|SKV Net 2|SKV North Am 2|SKV Oregon 1|SKV Parrot 1|SKV PNW 1|SKV PNW 2|SKV PNW Reg 2|SKV PS1-DNU|SKV PS2-DNU|SKV SNARS 1-2|SKV TAC 1-2|SKV TAC 2-2|SKV TAC 310-2|SKV TAC 311-2|SKV TAC 312-2|SKV TAC 313-2|SKV TAC 314-2|SKV TAC 315-2|SKV TAC 316-2|SKV TAC 317-2|SKV TAC 318-2|SKV TAC 319-2|SKV TAC 3-2|SKV USA 2|SKV Wash 1|SKV Wash 2","147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125|147.4125","146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125|146.4125","SKV Audio Test 2","147.4125","146.4125","SKV Audio Test 2","147.4125","146.4125"
"47","Spok/Lookout UHF","SLO Audio Test 2|SLO BC 1|SLO Cascad 1|SLO Hawaii 1-2|SLO I-5-1|SLO Idaho 1|SLO Local 1|SLO Local 2|SLO Mountain 2|SLO Net 2|SLO North Am 2|SLO Oregon 1|SLO Parrot 1|SLO PNW 1|SLO PNW 2|SLO PNW Reg 2|SLO PS1-DNU|SLO PS2-DNU|SLO SNARS 1-2|SLO TAC 1-2|SLO TAC 2-2|SLO TAC 310-2|SLO TAC 311-2|SLO TAC 312-2|SLO TAC 313-2|SLO TAC 314-2|SLO TAC 315-2|SLO TAC 316-2|SLO TAC 317-2|SLO TAC 318-2|SLO TAC 319-2|SLO TAC 3-2|SLO USA 2|SLO Wash 1|SLO Wash 2","444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15|444.15","449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15|449.15","SLO Audio Test 2","444.15","449.15","SLO Audio Test 2","444.15","449.15"
"48","Sultan/Haystack","SUL I-5-1|SUL Local 1|SUL Local 2|SUL Oregon 1|SUL Parrot 1|SUL PNW 1|SUL PNW 2|SUL TAC 1-2|SUL TAC 2-2|SUL TAC 310-2|SUL TAC 311-2|SUL TAC 312-2|SUL TAC 3-2|SUL Wash 1|SUL Wash 2","444.4|444.4|444.4|444.4|444.4|444.4|444.4|444.4|444.4|444.4|444.4|444.4|444.4|444.4|444.4","449.4|449.4|449.4|449.4|449.4|449.4|449.4|449.4|449.4|449.4|449.4|449.4|449.4|449.4|449.4","SUL I-5-1","444.4","449.4","SUL I-5-1","444.4","449.4"
"49","Tacoma/Baldi","TBA Audio Test 2|TBA BC 1|TBA Bridge 2|TBA California 1|TBA Canada 2|TBA Cascad 1|TBA Comm 1|TBA Comm 2|TBA Fusion 2|TBA Hawaii 1-2|TBA I-5-1|TBA Local 1|TBA Local 2|TBA Michigan 1|TBA Montana 2|TBA Mountain 2|TBA Net 2|TBA North Am 2|TBA Oregon 1|TBA Parrot 1|TBA PNW 1|TBA PNW 2|TBA PNW Reg 2|TBA PS1-DNU|TBA PS2-DNU|TBA SNARS 1-2|TBA TAC 1-2|TBA TAC 2-2|TBA TAC 310-2|TBA TAC 311-2|TBA TAC 312-2|TBA TAC 313-2|TBA TAC 314-2|TBA TAC 315-2|TBA TAC 316-2|TBA TAC 317-2|TBA TAC 318-2|TBA TAC 319-2|TBA TAC 3-2|TBA TAC Eng 2|TBA USA 2|TBA Wash 1|TBA Wash 2|TBA Worldwide 2|TBA WW Eng 2","441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35|441.35","446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35|446.35","TBA Audio Test 2","441.35","446.35","TBA Audio Test 2","441.35","446.35"
"50","Tacoma/Ruston","TRU Audio Test 2|TRU BC 1|TRU Bridge 2|TRU California 1|TRU Canada 2|TRU Cascad 1|TRU Comm 1|TRU Fusion 2|TRU Hawaii 1-2|TRU I-5-1|TRU Local 1|TRU Local 2|TRU Montana 2|TRU Net 2|TRU North Am 2|TRU Oregon 1|TRU Parrot 1|TRU PNW 1|TRU PNW 2|TRU PNW Reg 2|TRU PS1-DNU|TRU PS2-DNU|TRU SNARS 1-2|TRU TAC 1-2|TRU TAC 2-2|TRU TAC 310-2|TRU TAC 311-2|TRU TAC 312-2|TRU TAC 313-2|TRU TAC 314-2|TRU TAC 315-2|TRU TAC 316-2|TRU TAC 317-2|TRU TAC 318-2|TRU TAC 319-2|TRU TAC 3-2|TRU TAC Eng 2|TRU USA 2|TRU Wash 1|TRU Wash 2|TRU Worldwide 2|TRU WW Eng 2","440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725","445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725","TRU Audio Test 2","440.725","445.725","TRU Audio Test 2","440.725","445.725"
"51","TheDall/StackrBu","STB ARRG 2|STB Audio Test 2|STB BayNet 2|STB BC 1|STB Bridge 2|STB California 1|STB Cascad 1|STB Comm 1|STB I-5-1|STB I-84-2|STB Idaho 1|STB Local 1|STB Montana 2|STB Mountain 2|STB MPRG 1-2|STB Net 2|STB North Am 2|STB Oregon 1|STB Parrot 1|STB PNW 1|STB PNW 2|STB PNW Reg 2|STB SNARS 1-2|STB SoCal 2|STB TAC 1-2|STB TAC 2-2|STB TAC 310-2|STB TAC 3-2|STB USA 2|STB Utah 2|STB Wash 1|STB Wash 2|STB Worldwide 2|STB WW Eng 2","443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1|443.1","448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1|448.1","STB ARRG 2","443.1","448.1","STB ARRG 2","443.1","448.1"
"52","Tri-Citi/JOJ UHF","TIU Audio Test 2|TIU BC 1|TIU Bridge 2|TIU Cascad 1|TIU I-84-2|TIU Local 1|TIU Local 2|TIU Net 2|TIU Oregon 1|TIU Parrot 1|TIU PNW 1|TIU PNW 2|TIU PNW Reg 2|TIU PS1-DNU|TIU PS2-DNU|TIU TAC 1-2|TIU TAC 2-2|TIU TAC 310-2|TIU TAC 311-2|TIU TAC 312-2|TIU TAC 313-2|TIU TAC 314-2|TIU TAC 315-2|TIU TAC 316-2|TIU TAC 317-2|TIU TAC 318-2|TIU TAC 319-2|TIU TAC 3-2|TIU USA 2|TIU Wash 1|TIU Wash 2","440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375","445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375","TIU Audio Test 2","440.7375","445.7375","TIU Audio Test 2","440.7375","445.7375"
"53","Tri-Citi/JOJ VHF","TIV Audio Test 2|TIV BC 1|TIV Bridge 2|TIV Cascad 1|TIV I-84-2|TIV Local 1|TIV Local 2|TIV Net 2|TIV Oregon 1|TIV Parrot 1|TIV PNW 1|TIV PNW 2|TIV PNW Reg 2|TIV PS1-DNU|TIV PS2-DNU|TIV TAC 1-2|TIV TAC 2-2|TIV TAC 310-2|TIV TAC 311-2|TIV TAC 312-2|TIV TAC 313-2|TIV TAC 314-2|TIV TAC 315-2|TIV TAC 316-2|TIV TAC 317-2|TIV TAC 318-2|TIV TAC 319-2|TIV TAC 3-2|TIV USA 2|TIV Wash 1|TIV Wash 2","147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425|147.425","146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425|146.425","TIV Audio Test 2","147.425","146.425","TIV Audio Test 2","147.425","146.425"
"54","Wenatchee/LilBad","WEN Audio Test 2|WEN BC 1|WEN Bridge 2|WEN California 1|WEN Canada 2|WEN Cascad 1|WEN Comm 1|WEN Local 1|WEN Local 2|WEN Net 2|WEN North Am 2|WEN Oregon 1|WEN Parrot 1|WEN PNW 1|WEN PNW 2|WEN PNW Reg 2|WEN PS1-DNU|WEN PS2-DNU|WEN TAC 1-2|WEN TAC 2-2|WEN TAC 310-2|WEN TAC 311-2|WEN TAC 312-2|WEN TAC 313-2|WEN TAC 314-2|WEN TAC 315-2|WEN TAC 316-2|WEN TAC 317-2|WEN TAC 318-2|WEN TAC 319-2|WEN TAC Eng 2|WEN USA 2|WEN Wash 1|WEN Wash 2|WEN WW Eng 2","443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75|443.75","448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75|448.75","WEN Audio Test 2","443.75","448.75","WEN Audio Test 2","443.75","448.75"
"55","WWARA 440.7000","WAR BC 1|WAR Cascad 1|WAR I-5-1|WAR Idaho 1|WAR Local 1|WAR Local 2|WAR Montana 2|WAR Oregon 1|WAR Parrot 1|WAR PNW 1|WAR PNW 2|WAR PNW Reg 2|WAR PS1-DNU|WAR PS2-DNU|WAR TAC 1-2|WAR TAC 2-2|WAR TAC 3-2|WAR Wash 1|WAR Wash 2","440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7|440.7","445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7|445.7","WAR BC 1","440.7","445.7","WAR BC 1","440.7","445.7"
