"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency"
"56","WWARA 440.7125","WAR BC 1|WAR Cascad 1|WAR I-5-1|WAR Idaho 1|WAR Local 1|WAR Local 2|WAR Montana 2|WAR Oregon 1|WAR Parrot 1|WAR PNW 1|WAR PNW 2|WAR PNW Reg 2|WAR PS1-DNU|WAR PS2-DNU|WAR TAC 1-2|WAR TAC 2-2|WAR TAC 3-2|WAR Wash 1|WAR Wash 2","440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125|440.7125","445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125|445.7125","WAR BC 1","440.7125","445.7125","WAR BC 1","440.7125","445.7125"
"57","WWARA 440.7250","WAR BC 1|WAR Cascad 1|WAR I-5-1|WAR Idaho 1|WAR Local 1|WAR Local 2|WAR Montana 2|WAR Oregon 1|WAR Parrot 1|WAR PNW 1|WAR PNW 2|WAR PNW Reg 2|WAR PS1-DNU|WAR PS2-DNU|WAR TAC 1-2|WAR TAC 2-2|WAR TAC 3-2|WAR Wash 1|WAR Wash 2","440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725|440.725","445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725|445.725","WAR BC 1","440.725","445.725","WAR BC 1","440.725","445.725"
"58","WWARA 440.7375 ","WAR BC 1|WAR Cascad 1|WAR I-5-1|WAR Idaho 1|WAR Local 1|WAR Local 2|WAR Montana 2|WAR Oregon 1|WAR Parrot 1|WAR PNW 1|WAR PNW 2|WAR PNW Reg 2|WAR PS1-DNU|WAR PS2-DNU|WAR TAC 1-2|WAR TAC 2-2|WAR TAC 3-2|WAR Wash 1|WAR Wash 2","440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375|440.7375","445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375|445.7375","WAR BC 1","440.7375","445.7375","WAR BC 1","440.7375","445.7375"
"59","WWARA 440.7500","WAR BC 1|WAR Cascad 1|WAR I-5-1|WAR Idaho 1|WAR Local 1|WAR Local 2|WAR Montana 2|WAR Oregon 1|WAR Parrot 1|WAR PNW 1|WAR PNW 2|WAR PNW Reg 2|WAR PS1-DNU|WAR PS2-DNU|WAR TAC 1-2|WAR TAC 2-2|WAR TAC 3-2|WAR Wash 1|WAR Wash 2","440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75|440.75","445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75|445.75","WAR BC 1","440.75","445.75","WAR BC 1","440.75","445.75"
"60","WWARA 440.7625","WAR BC 1|WAR Cascad 1|WAR I-5-1|WAR Idaho 1|WAR Local 1|WAR Local 2|WAR Montana 2|WAR Oregon 1|WAR Parrot 1|WAR PNW 1|WAR PNW 2|WAR PNW Reg 2|WAR PS1-DNU|WAR PS2-DNU|WAR TAC 1-2|WAR TAC 2-2|WAR TAC 3-2|WAR Wash 1|WAR Wash 2","440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625|440.7625","445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625|445.7625","WAR BC 1","440.7625","445.7625","WAR BC 1","440.7625","445.7625"
"61","WWARA 440.7750","WAR BC 1|WAR Cascad 1|WAR I-5-1|WAR Idaho 1|WAR Local 1|WAR Local 2|WAR Montana 2|WAR Oregon 1|WAR Parrot 1|WAR PNW 1|WAR PNW 2|WAR PNW Reg 2|WAR PS1-DNU|WAR PS2-DNU|WAR TAC 1-2|WAR TAC 2-2|WAR TAC 3-2|WAR Wash 1|WAR Wash 2","440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775|440.775","445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775|445.775","WAR BC 1","440.775","445.775","WAR BC 1","440.775","445.775"
"62","Yakima/Elephant","YAK BC 1|YAK California 1|YAK Canada 2|YAK Cascad 1|YAK Comm 1|YAK Comm 2|YAK Hawaii 1-2|YAK Local 1|YAK Local 2|YAK Montana 2|YAK Mountain 2|YAK Net 2|YAK North Am 2|YAK Oregon 1|YAK Parrot 1|YAK PNW 1|YAK PNW 2|YAK PNW Reg 2|YAK PS1-DNU|YAK PS2-DNU|YAK TAC 1-2|YAK TAC 2-2|YAK TAC 310-2|YAK TAC 311-2|YAK TAC 312-2|YAK TAC 313-2|YAK TAC 314-2|YAK TAC 315-2|YAK TAC 316-2|YAK TAC 317-2|YAK TAC 318-2|YAK TAC 319-2|YAK TAC 3-2|YAK TAC Eng 2|YAK USA 2|YAK Wash 1|YAK Wash 2|YAK WW Eng 2","147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12|147.12","147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72|147.72","YAK BC 1","147.12","147.72","YAK BC 1","147.12","147.72"
"63","APRS - Analog","APRS Mute|APRS Voice|APRS Raw","144.39|144.39|144.39","144.39|144.39|144.39","APRS Mute","144.39","144.39","APRS Mute","144.39","144.39"
"64","DMR APRS","BM 431 TS2|BM 432 TS2|BM 433 TS2|BM 434 TS1|BM 434 TS2|BM 435 TS2","431|432|433|434|434|435","431|432|433|434|434|435","BM 431 TS2","431","431","BM 431 TS2","431","431"
"65","Eph/Analog VHF","145.3100 W7TT","145.31","144.71","145.3100 W7TT","145.31","144.71","145.3100 W7TT","145.31","144.71"
"66","Sea/Analog UHF","440.1000 K7SLB|440.5250 W7ACS|440.6500 K7CH|441.8000 W7AW|442.8750 WA7UHF|442.9000 WA7LZO|443.0000 WA7ACS|443.4750 WA7ACS|443.5000 W7VMI|443.5500 W7SRZ|443.6500 W7ACS|443.7750 KG7CM|444.2250 KC7LFW|444.3750 AJ7JA|444.4250 WW7SEA|444.5500 WW7SEA|444.7000 WW7SEA|444.7750 K7IDS|444.8250 W7SRZ","440.1|440.525|440.65|441.8|442.875|442.9|443|443.475|443.5|443.55|443.65|443.775|444.225|444.375|444.425|444.55|444.7|444.775|444.825","445.1|445.525|445.65|446.8|447.875|447.9|448|448.475|448.5|448.55|448.65|448.775|449.225|449.375|449.425|449.55|449.7|449.775|449.825","440.1000 K7SLB","440.1","445.1","440.1000 K7SLB","440.1","445.1"
"67","Sea/Analog VHF","145.1100 KC7SAR|145.2100 W7DK|145.3100 KC7IYE|145.3300 K7NWS|145.3500 W7ZLJ|145.4700 K7CPR|145.4900 K7LWH|146.6200 WW7RA|146.6600 WA7ST|146.7800 N7EBB|146.8200 K7LED|146.9000 W7SRZ|146.9200 WB7VYA|146.9600 WW7PSR|147.0000 W7DX|147.0600 W7AW|147.1600 W7MIR|147.4375 KF7VUR","145.11|145.21|145.31|145.33|145.35|145.47|145.49|146.62|146.66|146.78|146.82|146.9|146.92|146.96|147|147.06|147.16|147.4375","144.51|144.61|144.71|144.73|144.75|144.87|144.89|146.02|146.06|146.18|146.22|146.3|146.32|146.36|146.4|147.66|147.76|146.4375","145.1100 KC7SAR","145.11","144.51","145.1100 KC7SAR","145.11","144.51"
"68","Simplex","Rpt U10  430.450|Rpt U11 430.4625|Rpt U12  430.475|Rpt U09 430.4375|Sim U01  441.000|Sim U02  446.5|Sim U03  446.075|Sim U04  433.45|Sim U05  4304125|Sim U06  4394125|Sim U07  430.425|Sim U08  439.425|Sim V01  145.790|Sim V02  145.510|FM 146.52|FM 223.50|FM 446.00","430.45|430.4625|430.475|430.4375|441|446.5|446.075|433.45|430.4125|439.4125|430.425|439.425|145.79|145.51|146.52|223.5|446","439.45|439.4625|439.475|439.4375|441|446.5|446.075|433.45|430.4125|439.4125|430.425|439.425|145.79|145.51|146.52|223.5|446","Rpt U10  430.450","430.45","439.45","Rpt U10  430.450","430.45","439.45"
"69","SRG/Analog VHF","147.2000 Spok|147.2000 Wen|147.2000 Omak|147.2000 Yak|145.4500 KPR|145.4500 Chel|145.4500 Colv","147.2|147.2|147.2|147.2|145.45|145.45|145.45","147.8|147.8|147.8|147.8|144.85|144.85|144.85","147.2000 Spok","147.2","147.8","147.2000 Spok","147.2","147.8"
